ano_agricola,dsc_safra_previsao,uf,produto,id_produto,dsc_levantamento,id_levantamento,area_plantada_mil_ha,producao_mil_t,producao_acucar_mil_t,producao_etanol_anidro_mil_l,producao_etanol_hidratado_mil_l,producao_etanol_total_mil_l,produtcao_atr_kg_t,produtividade_t_ha,etanol_mil_m3,regiao
2019/20,UNICA,PA,CANA DE ACUCAR,4238,LEVANT,99,14.5,1195.0,55.6,42634.0,15667.0,58301.0,134.0,82.41,58.3,Norte
2019/20,UNICA,PB,CANA DE ACUCAR,4238,LEVANT,99,122.8,6736.2,141.1,204306.0,238440.0,442746.0,135.4,54.86,442.75,Nordeste
2019/20,UNICA,PE,CANA DE ACUCAR,4238,LEVANT,99,237.3,12519.6,860.4,113312.0,337418.0,450730.0,133.7,52.76,450.73,Nordeste
2019/20,UNICA,PI,CANA DE ACUCAR,4238,LEVANT,99,19.2,1249.0,84.0,16804.0,29653.0,46457.0,134.5,65.05,46.46,Nordeste
2019/20,UNICA,PR,CANA DE ACUCAR,4238,LEVANT,99,531.0,34352.6,2197.4,564486.5,1059700.5,1624187.0,148.3,64.69,1624.19,Sul
2019/20,UNICA,RJ,CANA DE ACUCAR,4238,LEVANT,99,29.2,845.8,4.4,0.0,57374.0,57374.0,120.1,28.97,57.37,Sudeste
2019/20,UNICA,RN,CANA DE ACUCAR,4238,LEVANT,99,55.2,2781.4,137.4,22863.0,101535.0,124398.0,128.1,50.39,124.4,Nordeste
2019/20,UNICA,RS,CANA DE ACUCAR,4238,LEVANT,99,0.7,31.0,0.0,0.0,1638.0,1638.0,89.5,44.29,1.64,Sul
2019/20,UNICA,SE,CANA DE ACUCAR,4238,LEVANT,99,36.7,1947.5,82.2,21997.0,89166.0,111163.0,141.6,53.07,111.16,Nordeste
2019/20,UNICA,SP,CANA DE ACUCAR,4238,LEVANT,99,4302.2,342614.3,18437.2,5661866.0,10827520.0,16489386.0,139.1,79.64,16489.39,Sudeste
2019/20,UNICA,TO,CANA DE ACUCAR,4238,LEVANT,99,27.7,2237.2,0.0,81536.0,84834.0,166370.0,128.5,80.77,166.37,Norte
2020/21,UNICA,AL,CANA DE ACUCAR,4238,LEVANT,99,298.4,17003.0,1436.1,189696.0,233069.0,422765.0,131.5,56.98,422.76,Nordeste
2020/21,UNICA,AM,CANA DE ACUCAR,4238,LEVANT,99,3.7,281.5,10.9,0.0,9009.0,9009.0,94.9,76.08,9.01,Norte
2020/21,UNICA,BA,CANA DE ACUCAR,4238,LEVANT,99,50.4,4459.9,134.2,117022.0,156524.0,273546.0,137.2,88.49,273.55,Nordeste
2020/21,UNICA,ES,CANA DE ACUCAR,4238,LEVANT,99,46.9,2655.2,137.2,70903.0,40433.0,111336.0,127.1,56.61,111.34,Sudeste
2020/21,UNICA,GO,CANA DE ACUCAR,4238,LEVANT,99,971.6,74039.9,2319.1,881689.0,3864977.0,4746666.0,142.2,76.2,4746.67,Centro-Oeste
2020/21,UNICA,MA,CANA DE ACUCAR,4238,LEVANT,99,33.1,2427.4,15.0,162468.0,15726.0,178194.0,135.6,73.34,178.19,Nordeste
2020/21,UNICA,MG,CANA DE ACUCAR,4238,LEVANT,99,854.2,70565.8,4714.9,911749.0,2159728.0,3071477.0,144.7,82.61,3071.48,Sudeste
2020/21,UNICA,MS,CANA DE ACUCAR,4238,LEVANT,99,637.2,48991.7,1847.5,655169.0,2214263.0,2869432.0,139.6,76.89,2869.43,Centro-Oeste
2020/21,UNICA,MT,CANA DE ACUCAR,4238,LEVANT,99,214.6,16773.2,484.4,383133.0,789738.2,1172871.2,150.3,78.16,1172.87,Centro-Oeste
2020/21,UNICA,PA,CANA DE ACUCAR,4238,LEVANT,99,13.8,1036.4,50.9,38676.0,11724.0,50400.0,136.6,75.1,50.4,Norte
2020/21,UNICA,PB,CANA DE ACUCAR,4238,LEVANT,99,118.3,6242.1,143.8,180028.0,226054.0,406082.0,136.3,52.77,406.08,Nordeste
2020/21,UNICA,PE,CANA DE ACUCAR,4238,LEVANT,99,233.0,11827.4,872.9,103092.0,254787.0,357879.0,129.3,50.76,357.88,Nordeste
2020/21,UNICA,PI,CANA DE ACUCAR,4238,LEVANT,99,20.1,1177.3,81.7,28135.0,10473.0,38608.0,130.1,58.57,38.61,Nordeste
2020/21,UNICA,PR,CANA DE ACUCAR,4238,LEVANT,99,522.9,31961.6,2619.2,455264.0,717403.0,1172667.0,139.5,61.12,1172.67,Sul
2020/21,UNICA,RJ,CANA DE ACUCAR,4238,LEVANT,99,32.7,1083.3,8.2,0.0,74305.0,74305.0,124.0,33.13,74.31,Sudeste
2020/21,UNICA,RN,CANA DE ACUCAR,4238,LEVANT,99,57.7,3067.8,173.6,31337.0,86270.0,117607.0,125.0,53.17,117.61,Nordeste
2020/21,UNICA,RS,CANA DE ACUCAR,4238,LEVANT,99,0.7,29.7,0.0,0.0,1628.8,1628.8,92.8,42.43,1.63,Sul
2020/21,UNICA,SE,CANA DE ACUCAR,4238,LEVANT,99,38.7,2243.6,117.6,21119.0,86627.0,107746.0,136.9,57.97,107.75,Nordeste
2020/21,UNICA,SP,CANA DE ACUCAR,4238,LEVANT,99,4444.2,354288.4,26087.1,5005270.0,9382984.0,14388254.0,147.0,79.72,14388.25,Sudeste
2020/21,UNICA,TO,CANA DE ACUCAR,4238,LEVANT,99,28.2,2171.0,0.0,87062.0,88888.0,175950.0,140.0,76.99,175.95,Norte
2021/22,UNICA,AL,CANA DE ACUCAR,4238,4º LEV,4,307.7,19199.9,1376.6,197147.0,233385.0,430532.0,113.9,62.4,430.53,Nordeste
2021/22,UNICA,AM,CANA DE ACUCAR,4238,4º LEV,4,3.7,306.3,14.7,0.0,7697.0,7697.0,92.7,82.78,7.7,Norte
2021/22,UNICA,BA,CANA DE ACUCAR,4238,4º LEV,4,57.0,4654.1,129.6,121002.0,192890.0,313892.0,145.2,81.65,313.89,Nordeste
